id,name,smiles,scaffold,split,mw,logp,psa,rings,measured
ESOL-0099,styrene oxide,c1ccc(C2CO2)cc1,c1ccc(C2CO2)cc1,train,120.151,1.7579,12.53,2,-1.6
ESOL-0052,cyclobarbital,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,O=C1NC(=O)C(C2=CCCCC2)C(=O)N1,train,236.271,1.2492,75.27,2,-2.17
ESOL-0654,2-Butoxyethanol,CCCCOCCO,[acyclic],train,118.176,0.7954,29.46,0,-0.42
ESOL-1071,Fluoromethalone,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,train,376.468,2.9233,74.6,4,-4.099
ESOL-0336,"2,4-Dimethylpentane",CC(C)CC(C)C,[acyclic],train,100.205,2.6885,0.0,0,-4.26
ESOL-0956,"1,4-Cyclohexadiene",C1=CCC=CC1,C1=CCC=CC1,train,80.13,1.8926,0.0,1,-2.06
ESOL-0639,Bromoethane,CCBr,[acyclic],train,108.966,1.4012,0.0,0,-1.09
ESOL-0672,Propionitrile,CCC#N,[acyclic],train,55.08,0.92,23.79,0,0.28
ESOL-0999,2-Methylbutan-2-ol,CCC(C)(C)O,[acyclic],train,88.15,1.1673,20.23,0,0.15
ESOL-1113,2-Octanol,CCCCCCC(C)O,[acyclic],train,130.231,2.3376,20.23,0,-2.09
ESOL-1013,"1,2-Dibromoethane",BrCCBr,[acyclic],train,187.862,1.7762,0.0,0,-1.68
ESOL-0028,Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O,O=C1CC(=O)NC(=O)N1,train,212.249,0.939,75.27,1,-1.661
ESOL-0158,chloroacetamide,NC(=O)CCl,[acyclic],train,93.513,-0.2895,43.09,0,-0.02
ESOL-0121,2-Methyl-1-Pentene,C=C(C)CCC,[acyclic],train,84.162,2.3626,0.0,0,-3.03
ESOL-0526,piperonal,O=Cc1ccc2c(c1)OCO2,c1ccc2c(c1)OCO2,train,150.133,1.2278,35.53,2,-1.63
ESOL-0993,3-Pentanol,CCC(O)CC,[acyclic],train,88.15,1.1673,20.23,0,-0.24
ESOL-0982,Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,train,258.233,0.0878,83.55,3,-2.676
ESOL-0918,triamcinolone acetonide,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,train,434.504,2.4188,93.06,5,-4.31
ESOL-0141,trans-2-Pentene,C/C=C/CC,[acyclic],train,70.135,1.9725,0.0,0,-2.54
